,町丁目,世帯数,総数,男,女,年度,月次,公開件数
0,後楽一丁目,435,721,358,363,2016,1,1
1,後楽二丁目,861,1505,745,760,2016,1,30
2,春日一丁目,953,1505,673,832,2016,1,44
3,春日二丁目,2039,4038,1934,2104,2016,1,74
4,小石川一丁目,1849,3512,1618,1894,2016,1,43
5,小石川二丁目,2134,3918,1868,2050,2016,1,67
6,小石川三丁目,2497,5152,2456,2696,2016,1,74
7,小石川四丁目,1747,3529,1609,1920,2016,1,65
8,小石川五丁目,2883,5522,2523,2999,2016,1,130
9,白山一丁目,2621,4667,2296,2371,2016,1,138
10,白山二丁目,2234,4141,2031,2110,2016,1,131
11,白山三丁目,532,1020,500,520,2016,1,25
12,白山四丁目,2257,4334,2062,2272,2016,1,53
13,白山五丁目,2116,3742,1715,2027,2016,1,100
14,千石一丁目,1883,3833,1796,2037,2016,1,120
15,千石二丁目,2022,4190,2029,2161,2016,1,38
16,千石三丁目,2129,4300,2070,2230,2016,1,60
17,千石四丁目,3214,5544,2652,2892,2016,1,216
18,水道一丁目,1408,2604,1283,1321,2016,1,46
19,水道二丁目,1945,3098,1565,1533,2016,1,167
20,小日向一丁目,1143,2242,1029,1213,2016,1,17
21,小日向二丁目,1075,2409,1160,1249,2016,1,36
22,小日向三丁目,647,1289,612,677,2016,1,19
23,小日向四丁目,937,1755,830,925,2016,1,55
24,大塚一丁目,533,1137,511,626,2016,1,10
25,大塚二丁目,1062,1934,826,1108,2016,1,12
26,大塚三丁目,2108,3500,1624,1876,2016,1,161
27,大塚四丁目,1784,3058,1418,1640,2016,1,68
28,大塚五丁目,2390,4342,2059,2283,2016,1,77
29,大塚六丁目,2203,3820,1930,1890,2016,1,64
30,関口一丁目,2623,4460,2088,2372,2016,1,167
31,関口二丁目,489,1014,479,535,2016,1,9
32,関口三丁目,449,926,452,474,2016,1,13
33,目白台一丁目,1240,2197,1173,1024,2016,1,30
34,目白台二丁目,1160,2126,1003,1123,2016,1,23
35,目白台三丁目,1323,2541,1171,1370,2016,1,44
36,音羽一丁目,2356,4013,1794,2219,2016,1,120
37,音羽二丁目,960,1717,755,962,2016,1,46
38,本郷一丁目,2139,4208,1938,2270,2016,1,89
39,本郷二丁目,1848,3101,1466,1635,2016,1,98
40,本郷三丁目,1927,3016,1382,1634,2016,1,73
41,本郷四丁目,2249,4110,1962,2148,2016,1,81
42,本郷五丁目,1878,3331,1699,1632,2016,1,49
43,本郷六丁目,1105,1919,966,953,2016,1,54
44,湯島一丁目,456,678,314,364,2016,1,22
45,湯島二丁目,1629,2685,1365,1320,2016,1,98
46,湯島三丁目,1840,2825,1403,1422,2016,1,141
47,湯島四丁目,1182,2109,1063,1046,2016,1,46
48,西片一丁目,1178,2380,1136,1244,2016,1,40
49,西片二丁目,1449,2865,1425,1440,2016,1,46
50,向丘一丁目,1809,3329,1658,1671,2016,1,71
51,向丘二丁目,1846,3218,1511,1707,2016,1,71
52,弥生一丁目,232,415,203,212,2016,1,2
53,弥生二丁目,810,1533,735,798,2016,1,43
54,根津一丁目,1378,2491,1108,1383,2016,1,26
55,根津二丁目,2234,3813,1812,2001,2016,1,50
56,千駄木一丁目,710,1481,682,799,2016,1,18
57,千駄木二丁目,2528,4368,2065,2303,2016,1,107
58,千駄木三丁目,3789,6736,3197,3539,2016,1,154
59,千駄木四丁目,1627,3018,1479,1539,2016,1,66
60,千駄木五丁目,2226,4591,2212,2379,2016,1,83
61,本駒込一丁目,2353,4594,2165,2429,2016,1,90
62,本駒込二丁目,2611,4996,2432,2564,2016,1,107
63,本駒込三丁目,1807,3266,1550,1716,2016,1,65
64,本駒込四丁目,2122,4168,2004,2164,2016,1,101
65,本駒込五丁目,3064,5707,2730,2977,2016,1,176
66,本駒込六丁目,1816,3576,1652,1924,2016,1,60
67,後楽一丁目,441,728,362,366,2016,2,3
68,後楽二丁目,860,1509,751,758,2016,2,19
69,春日一丁目,958,1511,672,839,2016,2,48
70,春日二丁目,2040,4033,1933,2100,2016,2,89
